source,search_term,title,company,location,date_posted,job_type,description,job_url,text
linkedin,data scientist,Data Scientist Intern,Zoox,"Foster City, CA",2026-02-01,internship,"Zoox’s internship program provides hands\-on experiences with state of the art technology, mentorship from some of the industry's brightest minds, and the opportunity to play a part in our success. Internships at Zoox are reserved for those who demonstrate outstanding academic performance, activities outside their course work, aptitude, curiosity, and a passion for Zoox's mission. As a Data Scientist Intern, you may be assigned to one of the following teams: On the Autonomy Software V\&V team, you will work on fleet metrics, behavior analysis, and performance evaluation of our autonomous vehicles. Analyze real\-world driving data to identify patterns, measure autonomy performance, and inform stack improvements. Contribute to metrics platforms that track miles\-per\-disengagement, driving behavior clusters (PUDO, lane changes, pullovers), and safety\-critical events across our L3 development and production service fleets. On the Core Data Science team, you will provide data solutions to deliver domain specific analytical insights. In this role, you will have the opportunity to perform data analysis to develop and validate the simulation framework evaluating Zoox’s autonomous driving software. You collaborate with key stakeholders in the Simulation team to gain insight into the safety and comfort performance of our robotaxi. This internship will provide you with hands\-on experience in building performance metrics and conducting in\-depth data analyses, contributing to data\-driven decision\-making within the cutting\-edge field of autonomous vehicles. **Requirements** * Currently working towards a B.S., M.S., Ph.D., or advanced degree in a relevant Statistics, Computer Science, Data Science or related field * Must be returning to school to continue your education upon completing this internship * Good academic standing * Able to commit to a 12\-week internship beginning in May or June of 2026 * At least one previous industry internship, co\-op, or project completed in a relevant area * Ability to relocate to the Bay Area, California or Boston for the duration of the internship * Interns at Zoox may not use any proprietary information they are working on as part of their thesis, any published work with their university, or to be distributed to anyone outside of Zoox **Qualifications (It’s helpful if you meet a majority of the following qualifications, but it isn’t a requirement):** * Strong programming skills in Python * Proficiency in SQL * Experience with data analysis and processing libraries such as pandas and NumPy * Experience with statistical analysis and data visualization * Understanding of experimental design and A/B testing * Strong data modeling skills * Good experience with data warehouse platforms (e.g. Amazon Redshift, Google BigQuery, Snowflake, …) and distributed data processing platforms (e.g. Spark, Delta lake) **Bonus Qualifications** * Experience with autonomous vehicle metrics or robotics data * Knowledge of causal inference and time\-series analysis * Familiarity with Databricks, Spark, or distributed computing * Experience building dashboards and data visualizations * Understanding of autonomous driving concepts (disengagements, ODD, safety metrics) * Publications or coursework in robotics, autonomous systems, or related areas **Compensation** The monthly salary range for this position is $5,500 to $9,500\. Compensation will vary based on geographic location and level of education. Additional benefits may include medical insurance, and a housing stipend (relocation assistance will be offered based on eligibility). **About Zoox** Zoox is developing the first ground\-up, fully autonomous vehicle fleet and the supporting ecosystem required to bring this technology to market. Sitting at the intersection of robotics, machine learning, and design, Zoox aims to provide the next generation of mobility\-as\-a\-service in urban environments. We’re looking for top talent that shares our passion and wants to be part of a fast\-moving and highly execution\-oriented team. Follow us on LinkedIn **Accommodations** If you need an accommodation to participate in the application or interview process please reach out to \[email protected] or your assigned recruiter. **A Final Note** *You do not need to match every listed expectation to apply for this position. Here at Zoox, we know that diverse perspectives foster the innovation we need to be successful, and we are committed to building a team that encompasses a variety of backgrounds, experiences, and skills.* We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.",https://www.linkedin.com/jobs/view/4335042741,"data scientist intern zoox’s internship program provides hands\-on experiences with state of the art technology, mentorship from some of the industry's brightest minds, and the opportunity to play a part in our success. internships at zoox are reserved for those who demonstrate outstanding academic performance, activities outside their course work, aptitude, curiosity, and a passion for zoox's mission. as a data scientist intern, you may be assigned to one of the following teams: on the autonomy software v\&v team, you will work on fleet metrics, behavior analysis, and performance evaluation of our autonomous vehicles. analyze real\-world driving data to identify patterns, measure autonomy performance, and inform stack improvements. contribute to metrics platforms that track miles\-per\-disengagement, driving behavior clusters (pudo, lane changes, pullovers), and safety\-critical events across our l3 development and production service fleets. on the core data science team, you will provide data solutions to deliver domain specific analytical insights. in this role, you will have the opportunity to perform data analysis to develop and validate the simulation framework evaluating zoox’s autonomous driving software. you collaborate with key stakeholders in the simulation team to gain insight into the safety and comfort performance of our robotaxi. this internship will provide you with hands\-on experience in building performance metrics and conducting in\-depth data analyses, contributing to data\-driven decision\-making within the cutting\-edge field of autonomous vehicles. **requirements** * currently working towards a b.s., m.s., ph.d., or advanced degree in a relevant statistics, computer science, data science or related field * must be returning to school to continue your education upon completing this internship * good academic standing * able to commit to a 12\-week internship beginning in may or june of 2026 * at least one previous industry internship, co\-op, or project completed in a relevant area * ability to relocate to the bay area, california or boston for the duration of the internship * interns at zoox may not use any proprietary information they are working on as part of their thesis, any published work with their university, or to be distributed to anyone outside of zoox **qualifications (it’s helpful if you meet a majority of the following qualifications, but it isn’t a requirement):** * strong programming skills in python * proficiency in sql * experience with data analysis and processing libraries such as pandas and numpy * experience with statistical analysis and data visualization * understanding of experimental design and a/b testing * strong data modeling skills * good experience with data warehouse platforms (e.g. amazon redshift, google bigquery, snowflake, …) and distributed data processing platforms (e.g. spark, delta lake) **bonus qualifications** * experience with autonomous vehicle metrics or robotics data * knowledge of causal inference and time\-series analysis * familiarity with databricks, spark, or distributed computing * experience building dashboards and data visualizations * understanding of autonomous driving concepts (disengagements, odd, safety metrics) * publications or coursework in robotics, autonomous systems, or related areas **compensation** the monthly salary range for this position is $5,500 to $9,500\. compensation will vary based on geographic location and level of education. additional benefits may include medical insurance, and a housing stipend (relocation assistance will be offered based on eligibility). **about zoox** zoox is developing the first ground\-up, fully autonomous vehicle fleet and the supporting ecosystem required to bring this technology to market. sitting at the intersection of robotics, machine learning, and design, zoox aims to provide the next generation of mobility\-as\-a\-service in urban environments. we’re looking for top talent that shares our passion and wants to be part of a fast\-moving and highly execution\-oriented team. follow us on linkedin **accommodations** if you need an accommodation to participate in the application or interview process please reach out to \[email protected] or your assigned recruiter. **a final note** *you do not need to match every listed expectation to apply for this position. here at zoox, we know that diverse perspectives foster the innovation we need to be successful, and we are committed to building a team that encompasses a variety of backgrounds, experiences, and skills.* we may use artificial intelligence (ai) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. these tools assist our recruitment team but do not replace human judgment. final hiring decisions are ultimately made by humans. if you would like more information about how your data is processed, please contact us."
linkedin,data scientist,Senior Data Scientist,Roku,"San Jose, CA",2026-02-01,fulltime,"Teamwork makes the stream work. **Roku is changing how the world watches TV** Roku is the \#1 TV streaming platform in the U.S., Canada, and Mexico, and we've set our sights on powering every television in the world. Roku pioneered streaming to the TV. Our mission is to be the TV streaming platform that connects the entire TV ecosystem. We connect consumers to the content they love, enable content publishers to build and monetize large audiences, and provide advertisers unique capabilities to engage consumers. From your first day at Roku, you'll make a valuable \- and valued \- contribution. We're a fast\-growing public company where no one is a bystander. We offer you the opportunity to delight millions of TV streamers around the world while gaining meaningful experience across a variety of disciplines. **About the team** The Core Analytics Team is a centralized function dedicated to providing data\-driven insights to drive business and product success. We work closely with our Product, Engineering, and Marketing teams to deliver exceptional experiences to our customers while maximizing the value proposition for the business. **About the role** Roku is looking for a Sr. Data scientist to join the Core Analytics team supporting recommendations and personalization products. In this role, you will leverage data analytics to support and improve our recommendations and personalization initiatives, identifying trends, mitigating risks, and providing actionable insights. You will work closely with product management and engineering to identify opportunities to create new features, drive their adoption, and generate value for Roku. This individual will investigate and develop solutions to track, monitor and improve our ecosystem. The successful candidate is quantitatively driven, detail\-focused, and possesses an elevated level of problem\-solving expertise. For California Only \- The estimated annual salary for this position is between $132,000\-$254,000 annually. Compensation packages are based on factors unique to each candidate, including but not limited to skill set, certifications, and specific geographical location. This role is eligible for health insurance, equity awards, life insurance, disability benefits, parental leave, wellness benefits, and paid time off. Roku will be accepting applications for this position until November 27, 2025 \[or until the position filled]. **What you'll be doing** * Collaborate with stakeholders to align data science initiatives with organizational goals and strategy design and execute AB tests * Translate complex analyses into clear executive narratives and dashboards, driving consensus on priorities and accelerating delivery across the board. * Develop and maintain dashboards, reports, and data visualizations to monitor key metrics for operational and systems health * Analyze structured and unstructured data and communicate insights to help stakeholders solve business problems, identify trends and make data\-driven decisions * Develop necessary data pipelines to power automation, validation and reporting * Develop analytical tools (real\-time alerts, models, etc.) to understand what drives success for our mobile platform * Perform exploratory data analysis on emerging trends and execute advanced analysis across the Roku Platform * Collaborate with the Program Management and Engineering team to proactively seek and incorporate feedback * Providing feedback directly to leadership on performance of various initiatives and untapped opportunities **We're excited if you have** * 5\+ years of work experience with a bachelor's degree or master's degree in quantitative field (e.g., Statistics, Business Analytics, Data Science, Mathematics, Economics, Engineering or Computer Science) * 5\+ years of experience across consumer product, digital media or entertainment industries * Expertise in SQL, SAS, R, Python or other programming language to query data and perform analysis * Hands on experience with visualization tools like Tableau or Looker * Have a bias towards action in resolving issues and operate in a high\-energy, fast\-paced environment * Hands on experience in A/B testing and statistical modeling/forecasting **Our Hybrid Work Approach** Roku fosters an inclusive and collaborative environment where teams work in the office Monday through Thursday. Fridays are flexible for remote work except for employees whose roles are required to be in the office five days a week or employees who are in offices with a five day in office policy. **Benefits** Roku is committed to offering a diverse range of benefits as part of our compensation package to support our employees and their families. Our comprehensive benefits include global access to mental health and financial wellness support and resources. Local benefits include statutory and voluntary benefits which may include healthcare (medical, dental, and vision), life, accident, disability, commuter, and retirement options (401(k)/pension). Our employees can take time off work for vacation and other personal reasons to balance their evolving work and life needs. It's important to note that not every benefit is available in all locations or for every role. For details specific to your location, please consult with your recruiter. **Accommodations** Roku welcomes applicants of all backgrounds and provides reasonable accommodations and adjustments in accordance with applicable law. If you require reasonable accommodation at any point in the hiring process, please direct your inquiries to EmployeeRelations@Roku.com. **The Roku Culture** Roku is a great place for people who want to work in a fast\-paced environment where everyone is focused on the company's success rather than their own. We try to surround ourselves with people who are great at their jobs, who are easy to work with, and who keep their egos in check. We appreciate a sense of humor. We believe a fewer number of very talented folks can do more for less cost than a larger number of less talented teams. We're independent thinkers with big ideas who act boldly, move fast and accomplish extraordinary things through collaboration and trust. In short, at Roku you'll be part of a company that's changing how the world watches TV. We have a unique culture that we are proud of. We think of ourselves primarily as problem\-solvers, which itself is a two\-part idea. We come up with the solution, but the solution isn't real until it is built and delivered to the customer. That penchant for action gives us a pragmatic approach to innovation, one that has served us well since 2002\. To learn more about Roku, our global footprint, and how we've grown, visit https://www.weareroku.com/factsheet. By providing your information, you acknowledge that you want Roku to contact you about job roles, that you have read Roku's Applicant Privacy Notice, and understand that Roku will use your information as described in that notice. If you do not wish to receive any communications from Roku regarding this role or similar roles in the future, you may unsubscribe at any time by emailing WorkforcePrivacy@Roku.com.",https://www.linkedin.com/jobs/view/4313070387,"senior data scientist teamwork makes the stream work. **roku is changing how the world watches tv** roku is the \#1 tv streaming platform in the u.s., canada, and mexico, and we've set our sights on powering every television in the world. roku pioneered streaming to the tv. our mission is to be the tv streaming platform that connects the entire tv ecosystem. we connect consumers to the content they love, enable content publishers to build and monetize large audiences, and provide advertisers unique capabilities to engage consumers. from your first day at roku, you'll make a valuable \- and valued \- contribution. we're a fast\-growing public company where no one is a bystander. we offer you the opportunity to delight millions of tv streamers around the world while gaining meaningful experience across a variety of disciplines. **about the team** the core analytics team is a centralized function dedicated to providing data\-driven insights to drive business and product success. we work closely with our product, engineering, and marketing teams to deliver exceptional experiences to our customers while maximizing the value proposition for the business. **about the role** roku is looking for a sr. data scientist to join the core analytics team supporting recommendations and personalization products. in this role, you will leverage data analytics to support and improve our recommendations and personalization initiatives, identifying trends, mitigating risks, and providing actionable insights. you will work closely with product management and engineering to identify opportunities to create new features, drive their adoption, and generate value for roku. this individual will investigate and develop solutions to track, monitor and improve our ecosystem. the successful candidate is quantitatively driven, detail\-focused, and possesses an elevated level of problem\-solving expertise. for california only \- the estimated annual salary for this position is between $132,000\-$254,000 annually. compensation packages are based on factors unique to each candidate, including but not limited to skill set, certifications, and specific geographical location. this role is eligible for health insurance, equity awards, life insurance, disability benefits, parental leave, wellness benefits, and paid time off. roku will be accepting applications for this position until november 27, 2025 \[or until the position filled]. **what you'll be doing** * collaborate with stakeholders to align data science initiatives with organizational goals and strategy design and execute ab tests * translate complex analyses into clear executive narratives and dashboards, driving consensus on priorities and accelerating delivery across the board. * develop and maintain dashboards, reports, and data visualizations to monitor key metrics for operational and systems health * analyze structured and unstructured data and communicate insights to help stakeholders solve business problems, identify trends and make data\-driven decisions * develop necessary data pipelines to power automation, validation and reporting * develop analytical tools (real\-time alerts, models, etc.) to understand what drives success for our mobile platform * perform exploratory data analysis on emerging trends and execute advanced analysis across the roku platform * collaborate with the program management and engineering team to proactively seek and incorporate feedback * providing feedback directly to leadership on performance of various initiatives and untapped opportunities **we're excited if you have** * 5\+ years of work experience with a bachelor's degree or master's degree in quantitative field (e.g., statistics, business analytics, data science, mathematics, economics, engineering or computer science) * 5\+ years of experience across consumer product, digital media or entertainment industries * expertise in sql, sas, r, python or other programming language to query data and perform analysis * hands on experience with visualization tools like tableau or looker * have a bias towards action in resolving issues and operate in a high\-energy, fast\-paced environment * hands on experience in a/b testing and statistical modeling/forecasting **our hybrid work approach** roku fosters an inclusive and collaborative environment where teams work in the office monday through thursday. fridays are flexible for remote work except for employees whose roles are required to be in the office five days a week or employees who are in offices with a five day in office policy. **benefits** roku is committed to offering a diverse range of benefits as part of our compensation package to support our employees and their families. our comprehensive benefits include global access to mental health and financial wellness support and resources. local benefits include statutory and voluntary benefits which may include healthcare (medical, dental, and vision), life, accident, disability, commuter, and retirement options (401(k)/pension). our employees can take time off work for vacation and other personal reasons to balance their evolving work and life needs. it's important to note that not every benefit is available in all locations or for every role. for details specific to your location, please consult with your recruiter. **accommodations** roku welcomes applicants of all backgrounds and provides reasonable accommodations and adjustments in accordance with applicable law. if you require reasonable accommodation at any point in the hiring process, please direct your inquiries to employeerelations@roku.com. **the roku culture** roku is a great place for people who want to work in a fast\-paced environment where everyone is focused on the company's success rather than their own. we try to surround ourselves with people who are great at their jobs, who are easy to work with, and who keep their egos in check. we appreciate a sense of humor. we believe a fewer number of very talented folks can do more for less cost than a larger number of less talented teams. we're independent thinkers with big ideas who act boldly, move fast and accomplish extraordinary things through collaboration and trust. in short, at roku you'll be part of a company that's changing how the world watches tv. we have a unique culture that we are proud of. we think of ourselves primarily as problem\-solvers, which itself is a two\-part idea. we come up with the solution, but the solution isn't real until it is built and delivered to the customer. that penchant for action gives us a pragmatic approach to innovation, one that has served us well since 2002\. to learn more about roku, our global footprint, and how we've grown, visit https://www.weareroku.com/factsheet. by providing your information, you acknowledge that you want roku to contact you about job roles, that you have read roku's applicant privacy notice, and understand that roku will use your information as described in that notice. if you do not wish to receive any communications from roku regarding this role or similar roles in the future, you may unsubscribe at any time by emailing workforceprivacy@roku.com."
linkedin,data scientist,"Machine Learning Engineer, Autolabeling (Internship)",Woven by Toyota,"Palo Alto, CA",2026-01-31,internship,"Woven by Toyota is enabling Toyota’s once\-in\-a\-century transformation into a mobility company. Inspired by a legacy of innovating for the benefit of others, our mission is to challenge the current state of mobility through human\-centric innovation — expanding what “mobility” means and how it serves society. Our work centers on four pillars: AD/ADAS, our autonomous driving and advanced driver assist technologies; Arene, our software development platform for software\-defined vehicles; Woven City, a test course for mobility; and Cloud \& AI, the digital infrastructure powering our collaborative foundation. Business\-critical functions empower these teams to execute, and together, we’re working toward one bold goal: a world with zero accidents and enhanced well\-being for all. **TEAM** Are you ready to make a significant impact at the forefront of automotive technology? At the Autolabeling team at Woven by Toyota, we tackle a wide range of exciting challenges, from optimization and 3D geometric computer vision to pioneering advancements in machine learning (ML) for perception autolabeling. Our mission is to automatically generate vast quantities of high\-quality, consistent, and diverse autolabeled data, driving the evolution of our data\-driven solutions. **Who We Are Looking For** We're on the lookout for a passionate and talented Machine Learning Intern who is eager to contribute to developing our innovative systems. As an intern, you'll have the opportunity to collaborate closely with one of our Senior ML Engineers, embarking on a future\-focused project. Your role will involve integrating cutting\-edge ML architectures and techniques into our Autolabeling stack development, pushing the boundaries of our technology and enhancing our autolabeling capabilities. This internship offers you the opportunity to work at the intersection of innovation and impact, where your contributions will play a crucial role in shaping the future of autonomous driving and intelligent systems. If you're driven by the desire to solve complex problems and leave a lasting mark on the industry, we invite you to join our team and become part of a group that's revolutionizing the way we see and interact with the world. Apply now and help us build the future of mobility! **Responsibilities** * Conduct research to integrate state\-of\-the\-art ML components into our auto\-labeling pipeline, enhancing its efficiency and accuracy. * Prepare and manage datasets to support data\-driven model development and validation. * Engage in daily collaboration with a ML Engineer, receiving mentorship and guidance while working on project tasks. * Gain hands\-on experience with production\-level data and real\-world applications, enhancing your practical skills in a professional setting. * Summarize key findings and insights in a comprehensive final report, highlighting project outcomes and providing actionable recommendations. **Minimum Qualifications** * Currently pursuing a Masters or a PhD degree in Computer Science, Computer Engineering, Computer Systems, Data Science, or similar discipline * Proven ability to develop ML models for image, video, 3D or 4D data processing and/or generation (must be supported by school projects and/or publications) * Strong programming skills in Python and ML development with PyTorch * Good written and verbal communication skills * Passionate about self driving car technology and its potential for humanity * Able to commit to a 12\-week internship beginning in May or June of 2026 **NICE TO HAVES (optional)** * Experience developing ML models for autonomous driving or ADAS * Experience developing Perception algorithms for autonomous driving or ADAS * Publications in top tier CV, ML or robotics conferences or journals The base pay for this position ranges from $30 \- $55 per hour. This internship is a temporary, non\-permanent position designed to provide practical experience and learning opportunities. The duration of the internship is 12 weeks. The total compensation offered to an intern will be dependent upon the individual's skills, experience, qualifications, location, and level. **Our Commitment** ・We are an equal opportunity employer and value diversity. ・Any information we receive from you will be used only in the hiring and onboarding process. Please see our privacy notice for more details.",https://www.linkedin.com/jobs/view/4352374154,"machine learning engineer, autolabeling (internship) woven by toyota is enabling toyota’s once\-in\-a\-century transformation into a mobility company. inspired by a legacy of innovating for the benefit of others, our mission is to challenge the current state of mobility through human\-centric innovation — expanding what “mobility” means and how it serves society. our work centers on four pillars: ad/adas, our autonomous driving and advanced driver assist technologies; arene, our software development platform for software\-defined vehicles; woven city, a test course for mobility; and cloud \& ai, the digital infrastructure powering our collaborative foundation. business\-critical functions empower these teams to execute, and together, we’re working toward one bold goal: a world with zero accidents and enhanced well\-being for all. **team** are you ready to make a significant impact at the forefront of automotive technology? at the autolabeling team at woven by toyota, we tackle a wide range of exciting challenges, from optimization and 3d geometric computer vision to pioneering advancements in machine learning (ml) for perception autolabeling. our mission is to automatically generate vast quantities of high\-quality, consistent, and diverse autolabeled data, driving the evolution of our data\-driven solutions. **who we are looking for** we're on the lookout for a passionate and talented machine learning intern who is eager to contribute to developing our innovative systems. as an intern, you'll have the opportunity to collaborate closely with one of our senior ml engineers, embarking on a future\-focused project. your role will involve integrating cutting\-edge ml architectures and techniques into our autolabeling stack development, pushing the boundaries of our technology and enhancing our autolabeling capabilities. this internship offers you the opportunity to work at the intersection of innovation and impact, where your contributions will play a crucial role in shaping the future of autonomous driving and intelligent systems. if you're driven by the desire to solve complex problems and leave a lasting mark on the industry, we invite you to join our team and become part of a group that's revolutionizing the way we see and interact with the world. apply now and help us build the future of mobility! **responsibilities** * conduct research to integrate state\-of\-the\-art ml components into our auto\-labeling pipeline, enhancing its efficiency and accuracy. * prepare and manage datasets to support data\-driven model development and validation. * engage in daily collaboration with a ml engineer, receiving mentorship and guidance while working on project tasks. * gain hands\-on experience with production\-level data and real\-world applications, enhancing your practical skills in a professional setting. * summarize key findings and insights in a comprehensive final report, highlighting project outcomes and providing actionable recommendations. **minimum qualifications** * currently pursuing a masters or a phd degree in computer science, computer engineering, computer systems, data science, or similar discipline * proven ability to develop ml models for image, video, 3d or 4d data processing and/or generation (must be supported by school projects and/or publications) * strong programming skills in python and ml development with pytorch * good written and verbal communication skills * passionate about self driving car technology and its potential for humanity * able to commit to a 12\-week internship beginning in may or june of 2026 **nice to haves (optional)** * experience developing ml models for autonomous driving or adas * experience developing perception algorithms for autonomous driving or adas * publications in top tier cv, ml or robotics conferences or journals the base pay for this position ranges from $30 \- $55 per hour. this internship is a temporary, non\-permanent position designed to provide practical experience and learning opportunities. the duration of the internship is 12 weeks. the total compensation offered to an intern will be dependent upon the individual's skills, experience, qualifications, location, and level. **our commitment** ・we are an equal opportunity employer and value diversity. ・any information we receive from you will be used only in the hiring and onboarding process. please see our privacy notice for more details."
linkedin,data scientist,Associate Data Scientist,Tubi,,2026-01-30,fulltime,"**About The Role** The Tubi Builder’s Program is designed for early\-career professionals in Product, Engineering, Machine Learning, Design, and Data Science who are passionate about building products that impact millions of users. Over the course of the program, Data Scientists will rotate through multiple teams, gaining experience in data science, business strategy, and enabling data\-driven decision\-making. As an Associate Data Scientist, you will work closely with product managers, engineers, designers, and business stakeholders to evaluate opportunities, prioritize investments, and drive execution. You’ll gain exposure to at least three different domains while building core skills in data analysis, model building, and stakeholder management. This program is ideal for individuals with a strong analytical mindset, a passion for building data products, and the ability to think critically about data, business, and user experience. **Responsibilities** * Solve a wide array of challenging problems using different analytical and statistical approaches * Apply quantitative analysis, experimentation, data mining, and the presentation of data to develop strategies for our products * Create and manage dashboards and visualizations, deliver actionable insights to stakeholders, and enable data\-informed decision\-making * Partner with Product, Engineering, and cross\-functional teams to inform, influence, and support investment decisions * Ensure statistical rigor, metric alignment, and transparency * Define, understand, and test opportunities and levers to improve the product, and drive roadmaps through your insights and recommendations **Qualifications** **Minimum Requirements:** * Proficiency in SQL with hands\-on experience managing and analyzing large\-scale, event\-level data * Strong analytical skills with the ability to extract insights from large datasets using statistical methods * Strong communication skills with comfort conveying complex findings to non\-technical stakeholders * A strong drive to take on new challenges, experiment with new ideas, and continuously learn, whether through academic projects, internships, or self\-driven initiatives **Preferred Qualifications:** * Work Experience: Up to three years of combined professional experience, including internships * Prior experience in A/B testing, experimental design, and causal inference * Experience or knowledge of product analytics and working with event\-level data * Experience working in a startup or fast\-paced environment **Program Eligibility Requirements:** * GPA Requirement: Minimum 3\.0 GPA. * Application Deadline: February 15, 2026 * Program Timeline: Minimum 18 month commitment, starting Aug 2026, after which successful participants will transition into non\-rotational full\-time roles * Work Schedule: Full\-time, hybrid in San Francisco with office day requirements * Work Authorization: Must have U.S. work authorization; we are unable to sponsor visas for this program * Committed and available to work for the entire 18\-month length of the program **About the Program:** Our Tubi Builder’s Program is structured to accelerate the careers of future data science leaders by providing them with hands\-on experience across multiple product domains. Through structured rotations, mentorship, and executive exposure, Builders gain strategic experience, preparing them for a full\-time product management role. By the end of the program, you will: * Have experience across multiple product teams and business challenges * Develop a strong foundation in data science * Build relationships with mentors, executives, and fellow Tubi Builders Pursuant to state and local pay disclosure requirements, the pay range for this role, with final offer amount dependent on education, skills, experience, and location is is listed annually below. This role is also eligible for an annual discretionary bonus, long\-term incentive plan, and various benefits including medical/dental/vision, insurance, a 401(k) plan, paid time off and other benefits in accordance with applicable plan documents. High cost labor markets such as but not limited to Los Angeles, New York City, and San Francisco $130,000—$135,000 USD Tubi is a division of Fox Corporation, and the FOX Employee Benefits summarized here, covers the majority of all US employee benefits. The following distinctions below outline the differences between the Tubi and FOX benefits: * For US\-based non\-exempt Tubi employees, the FOX Employee Benefits summary accurately captures the Vacation and Sick Time. * For all salaried/exempt employees, in lieu of the FOX Vacation policy, Tubi offers a Flexible Time off Policy to manage all personal matters. * For all full\-time, regular employees, in lieu of FOX Paid Parental Leave, Tubi offers a generous Parental Leave Program, which allows parents twelve (12\) weeks of paid bonding leave within the first year of birth, adoption, surrogacy, or foster placement of a child in addition to applicable government leave program(s) and FOX’s short\-term disability policy. This time is 100% paid through a combination of any applicable state, city, and federal leaves and wage\-replacement programs in addition to contributions made by Tubi. * For all full\-time, regular employees, Tubi offers a monthly wellness reimbursement. About Tubi: Boldly built for every fandom, Tubi is a free streaming service that entertains over 100 million monthly active users. Tubi offers the world's largest collection of Hollywood movies and TV shows, thousands of creator\-led stories and hundreds of Tubi Originals made for the most passionate fans. Headquartered in San Francisco and founded in 2014, Tubi is part of Tubi Media Group, a division of Fox Corporation. *We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, gender identity, disability, protected veteran status, or any other characteristic protected by law. We will consider for employment qualified applicants with criminal histories consistent with applicable law.*",https://www.linkedin.com/jobs/view/4367368175,"associate data scientist **about the role** the tubi builder’s program is designed for early\-career professionals in product, engineering, machine learning, design, and data science who are passionate about building products that impact millions of users. over the course of the program, data scientists will rotate through multiple teams, gaining experience in data science, business strategy, and enabling data\-driven decision\-making. as an associate data scientist, you will work closely with product managers, engineers, designers, and business stakeholders to evaluate opportunities, prioritize investments, and drive execution. you’ll gain exposure to at least three different domains while building core skills in data analysis, model building, and stakeholder management. this program is ideal for individuals with a strong analytical mindset, a passion for building data products, and the ability to think critically about data, business, and user experience. **responsibilities** * solve a wide array of challenging problems using different analytical and statistical approaches * apply quantitative analysis, experimentation, data mining, and the presentation of data to develop strategies for our products * create and manage dashboards and visualizations, deliver actionable insights to stakeholders, and enable data\-informed decision\-making * partner with product, engineering, and cross\-functional teams to inform, influence, and support investment decisions * ensure statistical rigor, metric alignment, and transparency * define, understand, and test opportunities and levers to improve the product, and drive roadmaps through your insights and recommendations **qualifications** **minimum requirements:** * proficiency in sql with hands\-on experience managing and analyzing large\-scale, event\-level data * strong analytical skills with the ability to extract insights from large datasets using statistical methods * strong communication skills with comfort conveying complex findings to non\-technical stakeholders * a strong drive to take on new challenges, experiment with new ideas, and continuously learn, whether through academic projects, internships, or self\-driven initiatives **preferred qualifications:** * work experience: up to three years of combined professional experience, including internships * prior experience in a/b testing, experimental design, and causal inference * experience or knowledge of product analytics and working with event\-level data * experience working in a startup or fast\-paced environment **program eligibility requirements:** * gpa requirement: minimum 3\.0 gpa. * application deadline: february 15, 2026 * program timeline: minimum 18 month commitment, starting aug 2026, after which successful participants will transition into non\-rotational full\-time roles * work schedule: full\-time, hybrid in san francisco with office day requirements * work authorization: must have u.s. work authorization; we are unable to sponsor visas for this program * committed and available to work for the entire 18\-month length of the program **about the program:** our tubi builder’s program is structured to accelerate the careers of future data science leaders by providing them with hands\-on experience across multiple product domains. through structured rotations, mentorship, and executive exposure, builders gain strategic experience, preparing them for a full\-time product management role. by the end of the program, you will: * have experience across multiple product teams and business challenges * develop a strong foundation in data science * build relationships with mentors, executives, and fellow tubi builders pursuant to state and local pay disclosure requirements, the pay range for this role, with final offer amount dependent on education, skills, experience, and location is is listed annually below. this role is also eligible for an annual discretionary bonus, long\-term incentive plan, and various benefits including medical/dental/vision, insurance, a 401(k) plan, paid time off and other benefits in accordance with applicable plan documents. high cost labor markets such as but not limited to los angeles, new york city, and san francisco $130,000—$135,000 usd tubi is a division of fox corporation, and the fox employee benefits summarized here, covers the majority of all us employee benefits. the following distinctions below outline the differences between the tubi and fox benefits: * for us\-based non\-exempt tubi employees, the fox employee benefits summary accurately captures the vacation and sick time. * for all salaried/exempt employees, in lieu of the fox vacation policy, tubi offers a flexible time off policy to manage all personal matters. * for all full\-time, regular employees, in lieu of fox paid parental leave, tubi offers a generous parental leave program, which allows parents twelve (12\) weeks of paid bonding leave within the first year of birth, adoption, surrogacy, or foster placement of a child in addition to applicable government leave program(s) and fox’s short\-term disability policy. this time is 100% paid through a combination of any applicable state, city, and federal leaves and wage\-replacement programs in addition to contributions made by tubi. * for all full\-time, regular employees, tubi offers a monthly wellness reimbursement. about tubi: boldly built for every fandom, tubi is a free streaming service that entertains over 100 million monthly active users. tubi offers the world's largest collection of hollywood movies and tv shows, thousands of creator\-led stories and hundreds of tubi originals made for the most passionate fans. headquartered in san francisco and founded in 2014, tubi is part of tubi media group, a division of fox corporation. *we are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, gender identity, disability, protected veteran status, or any other characteristic protected by law. we will consider for employment qualified applicants with criminal histories consistent with applicable law.*"
